,Time(s),Speed(RPM),Torque(Nm),FuelConsumption
0,0.0,0.0,0.0,0.5693
1,0.5,0.0,0.0,0.5693
2,1.0,0.0,0.0,0.5693
3,1.5,0.0,0.0,0.5693
4,2.0,0.0,0.0,0.5693
5,2.5,0.0,0.0,0.5693
6,3.0,0.0,0.0,0.5693
7,3.5,0.0,0.0,0.5693
8,4.0,0.0,0.0,0.5693
9,4.5,0.0,0.0,0.5693
10,5.0,0.0,0.0,0.5693
11,5.5,0.0,0.0,0.5693
12,6.0,0.0,0.0,0.5693
13,6.5,0.0,0.0,0.5693
14,7.0,0.0,0.0,0.5693
15,7.5,0.0,0.0,0.5693
16,8.0,0.0,0.0,0.5693
17,8.5,0.0,0.0,0.5693
18,9.0,0.0,0.0,0.5693
19,9.5,0.0,0.0,0.5693
20,10.0,0.0,0.0,0.5693
21,10.5,0.0,0.0,0.5693
22,11.0,0.0,0.0,0.5693
23,11.5,125.3297809,73.08357584,0.2925
24,12.0,250.6595619,73.0969915,0.2925
25,12.5,375.9893428,73.11935093,0.2925
26,13.0,501.3191237,73.15065413,0.2925
27,13.5,626.6489047,73.1909011,0.2925
28,14.0,751.9786856,73.24009184,0.2925
29,14.5,877.3084665,73.29822635,0.2925
30,15.0,1002.638247,73.36530464,0.2925
31,15.5,1002.638247,7.611470158,0.1513
32,16.0,1002.638247,7.611470158,0.1513
33,16.5,1002.638247,7.611470158,0.1513
34,17.0,1002.638247,7.611470158,0.1513
35,17.5,1002.638247,7.611470158,0.1513
36,18.0,1002.638247,7.611470158,0.1513
37,18.5,1002.638247,7.611470158,0.1513
38,19.0,1002.638247,7.611470158,0.1513
39,19.5,1002.638247,7.611470158,0.1513
40,20.0,1002.638247,7.611470158,0.1513
41,20.5,1002.638247,7.611470158,0.1513
42,21.0,1002.638247,7.611470158,0.1513
43,21.5,1002.638247,7.611470158,0.1513
44,22.0,1002.638247,7.611470158,0.1513
45,22.5,1002.638247,7.611470158,0.1513
46,23.0,1002.638247,7.611470158,0.1513
47,23.5,902.3744227,-45.04597555,0.1513
48,24.0,802.110598,-45.09462967,0.1513
49,24.5,701.8467732,-45.13755977,0.1513
50,25.0,601.5829485,-45.17476586,0.1513
51,25.5,501.3191237,-45.20624793,0.1513
52,26.0,401.055299,-45.232006,0.1513
53,26.5,300.7914742,-45.25204004,0.1513
54,27.0,200.5276495,-45.26635008,0.1513
55,27.5,100.2638247,-45.2749361,0.1513
56,28.0,0.0,0.0,0.5693
57,28.5,0.0,0.0,0.5693
58,29.0,0.0,0.0,0.5693
59,29.5,0.0,0.0,0.5693
60,30.0,0.0,0.0,0.5693
61,30.5,0.0,0.0,0.5693
62,31.0,0.0,0.0,0.5693
63,31.5,0.0,0.0,0.5693
64,32.0,0.0,0.0,0.5693
65,32.5,0.0,0.0,0.5693
66,33.0,0.0,0.0,0.5693
67,33.5,0.0,0.0,0.5693
68,34.0,0.0,0.0,0.5693
69,34.5,0.0,0.0,0.5693
70,35.0,0.0,0.0,0.5693
71,35.5,0.0,0.0,0.5693
72,36.0,0.0,0.0,0.5693
73,36.5,0.0,0.0,0.5693
74,37.0,0.0,0.0,0.5693
75,37.5,0.0,0.0,0.5693
76,38.0,0.0,0.0,0.5693
77,38.5,0.0,0.0,0.5693
78,39.0,0.0,0.0,0.5693
79,39.5,0.0,0.0,0.5693
80,40.0,0.0,0.0,0.5693
81,40.5,0.0,0.0,0.5693
82,41.0,0.0,0.0,0.5693
83,41.5,0.0,0.0,0.5693
84,42.0,0.0,0.0,0.5693
85,42.5,0.0,0.0,0.5693
86,43.0,0.0,0.0,0.5693
87,43.5,0.0,0.0,0.5693
88,44.0,0.0,0.0,0.5693
89,44.5,0.0,0.0,0.5693
90,45.0,0.0,0.0,0.5693
91,45.5,0.0,0.0,0.5693
92,46.0,0.0,0.0,0.5693
93,46.5,0.0,0.0,0.5693
94,47.0,0.0,0.0,0.5693
95,47.5,0.0,0.0,0.5693
96,48.0,0.0,0.0,0.5693
97,48.5,0.0,0.0,0.5693
98,49.0,0.0,0.0,0.5693
99,49.5,89.12339977,54.08581311,0.2455
100,50.0,178.2467995,54.09259713,0.2455
101,50.5,267.3701993,54.10390382,0.2455
102,51.0,356.4935991,54.11973319,0.2455
103,51.5,445.6169989,54.14008524,0.2455
104,52.0,534.7403986,54.16495997,0.2455
