Speed,15.0,30.0,45.0,60.0,75.0,90.0,105.0,120.0,135.0,150.0,165.0,180.0
4000,0.6789,0.8672,1.0555,1.2438,1.4321,1.6204,1.8087,1.997,2.1852,2.3735,2.5618,2.7501
3500,0.529,0.6938,0.8585,1.0233,1.188,1.3528,1.5175,1.6823,1.847,2.0118,2.1766,2.2589
3250,0.4701,0.6231,0.7761,0.929,1.082,1.235,1.388,1.541,1.694,1.847,1.9999,2.0382
3000,0.42,0.5612,0.7024,0.8436,0.9849,1.1261,1.2673,1.4085,1.5497,1.691,1.8322,1.8322
2750,0.3773,0.5068,0.6362,0.7657,0.8951,1.0246,1.154,1.2835,1.4129,1.5424,1.6395,1.6395
2500,0.3407,0.4584,0.5761,0.6937,0.8114,0.9291,1.0468,1.1645,1.2822,1.3998,1.4587,1.4587
2250,0.3076,0.4135,0.5194,0.6253,0.7312,0.8371,0.943,1.049,1.1549,1.2608,1.2873,1.2873
2000,0.2759,0.37,0.4642,0.5583,0.6525,0.7466,0.8408,0.9349,1.0291,1.1232,1.1232,1.1232
1750,0.2451,0.3274,0.4098,0.4922,0.5746,0.657,0.7393,0.8217,0.9041,0.9659,0.9659,0.9659
1500,0.2145,0.2851,0.3557,0.4263,0.4969,0.5675,0.6381,0.7087,0.7793,0.8146,0.8146,0.8146
1250,0.1834,0.2423,0.3011,0.3599,0.4188,0.4776,0.5365,0.5953,0.6541,0.6689,0.6689,0.6689
1000,0.1513,0.1984,0.2455,0.2925,0.3396,0.3867,0.4338,0.4808,0.5279,0.5279,0.5279,0.5279
500,0.1513,0.1984,0.2455,0.2925,0.3396,0.3867,0.4338,0.4808,0.5279,0.5279,0.5279,0.5279
50,0.1513,0.1984,0.2455,0.2925,0.3396,0.3867,0.4338,0.4808,0.5279,0.5279,0.5279,0.5279
0,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693,0.5693
