Time(s),Speed(RPM),Torque(Nm)
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,0,0
5,0,0
5.5,0,0
6,0,0
6.5,0,0
7,0,0
7.5,0,0
8,0,0
8.5,0,0
9,0,0
9.5,0,0
10,0,0
10.5,0,0
11,0,0
11.5,125.3297809,73.08357584
12,250.6595619,73.0969915
12.5,375.9893428,73.11935093
13,501.3191237,73.15065413
13.5,626.6489047,73.1909011
14,751.9786856,73.24009184
14.5,877.3084665,73.29822635
15,1002.638247,73.36530464
15.5,1002.638247,7.611470158
16,1002.638247,7.611470158
16.5,1002.638247,7.611470158
17,1002.638247,7.611470158
17.5,1002.638247,7.611470158
18,1002.638247,7.611470158
18.5,1002.638247,7.611470158
19,1002.638247,7.611470158
19.5,1002.638247,7.611470158
20,1002.638247,7.611470158
20.5,1002.638247,7.611470158
21,1002.638247,7.611470158
21.5,1002.638247,7.611470158
22,1002.638247,7.611470158
22.5,1002.638247,7.611470158
23,1002.638247,7.611470158
23.5,902.3744227,-45.04597555
24,802.110598,-45.09462967
24.5,701.8467732,-45.13755977
25,601.5829485,-45.17476586
25.5,501.3191237,-45.20624793
26,401.055299,-45.232006
26.5,300.7914742,-45.25204004
27,200.5276495,-45.26635008
27.5,100.2638247,-45.2749361
28,0,0
28.5,0,0
29,0,0
29.5,0,0
30,0,0
30.5,0,0
31,0,0
31.5,0,0
32,0,0
32.5,0,0
33,0,0
33.5,0,0
34,0,0
34.5,0,0
35,0,0
35.5,0,0
36,0,0
36.5,0,0
37,0,0
37.5,0,0
38,0,0
38.5,0,0
39,0,0
39.5,0,0
40,0,0
40.5,0,0
41,0,0
41.5,0,0
42,0,0
42.5,0,0
43,0,0
43.5,0,0
44,0,0
44.5,0,0
45,0,0
45.5,0,0
46,0,0
46.5,0,0
47,0,0
47.5,0,0
48,0,0
48.5,0,0
49,0,0
49.5,89.12339977,54.08581311
50,178.2467995,54.09259713
50.5,267.3701993,54.10390382
51,356.4935991,54.11973319
51.5,445.6169989,54.14008524
52,534.7403986,54.16495997
52.5,623.8637984,54.19435737
53,712.9871982,54.22827745
53.5,802.110598,54.26672021
54,891.2339977,54.30968564
54.5,980.3573975,54.35717376
55,1069.480797,54.40918455
55.5,1158.604197,54.46571801
56,1247.727597,54.52677416
56.5,1336.850997,54.59235298
57,1425.974396,54.66245448
57.5,1515.097796,54.73707866
58,1604.221196,54.81622551
58.5,1693.344596,54.89989504
59,1782.467995,54.98808725
59.5,1871.591395,55.08080214
60,1960.714795,55.1780397
60.5,2049.838195,55.27979995
